id;login;first_name;last_name;email;phone;role;cin;address;birth_date;municipality_id
1;svelte save;Jonathan;Kunze;Harmony_Schneider31@yahoo.com;(637) 456-3984;and;splash;that merrily;2025-08-03;28145
2;gosh kookily;Nasir;Wiza;Nathanial90@hotmail.com;977.901.4348 x866;pocket-watch starboard;peony which;pause knowingly in;2025-08-02;2324
3;cruelly;Arthur;Murazik;Haleigh66@yahoo.com;1-499-436-1909;reconsideration;aha ew serpentine;stunt boohoo however;2025-08-03;26730
4;ick;Connor;Thiel;Jaleel_Hintz36@hotmail.com;(789) 238-1750 x560;mmm;calmly anti best;disloyal unimpressively whenever;2025-08-03;24888
5;how scruple embed;Juwan;Koelpin;Marco.Dibbert@yahoo.com;633-893-1027;narrate thoroughly;sans aha;yowza because hydrant;2025-08-03;23633
6;design;Jace;Leuschke;Felix_Franecki@yahoo.com;728.754.0369 x65344;warmly gah by;hm;abaft;2025-08-03;18657
7;gosh memorise boohoo;Dexter;Abshire;Genevieve_Bayer@hotmail.com;601.845.8488 x82073;after pixellate except;whoa tepid pharmacopoeia;though next;2025-08-02;12764
8;westernise seriously;Demetris;Davis;Derick.Huel-Mayer@gmail.com;519.398.7111 x9817;excitable cassava;atop so playfully;stump;2025-08-03;19522
9;smoke;Austin;Bechtelar;Ezequiel_Russel87@gmail.com;(558) 216-5650 x4314;not;including;bah;2025-08-03;16463
10;deselect;Ervin;Reilly;Jocelyn_Hegmann@gmail.com;(236) 258-1534 x1523;cauliflower whenever because;deliberately thankfully now;abseil ha wherever;2025-08-03;24624
